store_number,citipy_city,reverse_geocoder_city
19229-199644,Gilbert,Gilbert
74792-94835,Gilbert,Gilbert
5966-42259,Gilbert,Gilbert
9413-95026,Chandler,Chandler
28560-250158,Gilbert,Gilbert
74237-64179,Gilbert,Gilbert
73601-83370,Gilbert,Queen Creek
73849-118684,Gilbert,Gilbert
5377-239765,Gilbert,Gilbert
28192-249957,Sun City,Sun City
76853-111232,Glendale,Glendale
10259-99925,Peoria,Peoria
6894-84202,Sun City,Sun City
6874-85694,Peoria,Peoria
75378-103975,Glendale,Glendale
74450-94951,Peoria,Peoria
20216-195245,Peoria,Anthem
72123-3569,El Mirage,Litchfield Park
25584-240129,Sun City,Sun City
5376-1128,Peoria,Peoria
73348-24048,Glendale,Glendale
79705-101002,Peoria,Peoria
5465-1129,Peoria,Peoria
5500-249087,Sun City,Sun City
73971-138188,Peoria,Peoria
5036-106034,Peoria,Peoria
6539-155146,Peoria,Anthem
27678-241729,Apache Junction,Apache Junction
8188-150412,Goodyear,Goodyear
76968-129328,Goodyear,Goodyear
74446-86460,Goodyear,Goodyear
11890-95688,Avondale,Litchfield Park
74198-34460,Goodyear,Litchfield Park
5923-37479,Goodyear,Goodyear
12930-155424,Goodyear,Goodyear
74403-83394,Green Valley,Green Valley
9588-96089,Gilbert,Queen Creek
11218-102230,Kingman,New Kingman-Butler
79580-105116,Kingman,Kingman
20215-200588,Kingman,New Kingman-Butler
8853-95105,Lake Havasu City,Lake Havasu City
74229-59079,Lake Havasu City,Lake Havasu City
21400-212347,Lake Havasu City,Lake Havasu City
73707-106060,Lake Havasu City,Lake Havasu City
74374-87844,Show Low,Pinetop-Lakeside
17800-181285,Phoenix,Laveen
9995-99040,Phoenix,Laveen
79775-110404,Phoenix,Laveen
11892-105919,Avondale,Litchfield Park
72593-102521,Avondale,Litchfield Park
48884-245840,Goodyear,Litchfield Park
47582-257024,Goodyear,Litchfield Park
25943-230605,Casas Adobes,Tortolita
73868-106710,Marana,Avra Valley
74379-83392,Marana,Marana
8854-95070,Casas Adobes,Casas Adobes
15605-151604,Casas Adobes,Casas Adobes
23560-206847,Chandler,Maricopa
21997-97584,Avondale,Maricopa
72589-103446,Chandler,Maricopa
23472-228104,Mesa,San Carlos
6955-89981,Mesa,San Carlos
14378-111373,Gilbert,Gilbert
49004-256165,Apache Junction,Apache Junction
5672-2704,Gilbert,Gilbert
5415-1160,Gilbert,Gilbert
28769-250264,Tempe,Tempe
14520-119804,Mesa,Mesa
6498-54080,Apache Junction,Apache Junction
16341-160305,Tempe,San Carlos
74443-94941,Apache Junction,Apache Junction
74801-99596,Gilbert,Gilbert
12504-146044,Apache Junction,Apache Junction
74802-99056,Mesa,Mesa
5656-2087,Gilbert,Gilbert
79763-113970,Tempe,Tempe
19863-200586,Gilbert,Gilbert
25946-243084,Mesa,San Carlos
76301-96596,Gilbert,Queen Creek
76226-92082,Mesa,San Carlos
79701-101004,Chandler,San Carlos
24207-228145,Tempe,Tempe
25984-239415,Apache Junction,Apache Junction
47254-247326,Apache Junction,Apache Junction
13484-107641,Gilbert,Gilbert
11891-103701,Apache Junction,Apache Junction
3972-146748,Mesa,Mesa
20665-204611,Gilbert,Gilbert
74810-91320,Apache Junction,Apache Junction
5610-244258,Gilbert,Gilbert
6756-70860,Apache Junction,Apache Junction
10539-98366,Gilbert,Gilbert
21405-210864,Mesa,Mesa
5579-1311,Tempe,San Carlos
48693-105418,Gilbert,Queen Creek
13742-108945,Mesa,Mesa
72565-103444,Apache Junction,Apache Junction
26134-239414,Florence,Miami
22982-217348,Safford,Clifton
79669-113973,Nogales,Nogales
25578-240453,Nogales,Nogales
70314-140366,Oro Valley,Oro Valley
74414-91321,Oro Valley,Oro Valley
6683-74641,Oro Valley,Oro Valley
20278-176064,Oro Valley,Tortolita
79615-111046,Flagstaff,Page
74999-101170,Lake Havasu City,Parker
74418-83388,Payson,Payson
24883-200585,Payson,Payson
6733-77520,Peoria,Peoria
16389-164466,Sun City,Sun City
11433-104335,Sun City West,Sun City West
25205-237525,Sun City,Sun City
73125-21397,Sun City,Sun City
74401-83387,Sun City,Youngtown
49342-266924,Sun City West,Sun City West
76731-97576,Sun City West,Sun City West
72590-102066,Sun City West,Sun City West
5622-224206,Sun City,Sun City
79707-101342,Sun City West,Sun City West
20488-195008,Phoenix,Phoenix
5328-1010,Paradise Valley,Paradise Valley
74284-74767,Glendale,Glendale
18139-172188,Phoenix,Tempe Junction
5451-1387,Glendale,Glendale
70322-136611,Glendale,Glendale
74209-26810,Paradise Valley,Cave Creek
11434-105423,Phoenix,Phoenix
74940-101009,Phoenix,Guadalupe
29767-254779,Glendale,Glendale
72599-106024,Phoenix,Phoenix
9449-95835,Paradise Valley,Paradise Valley
10930-103560,Phoenix,Phoenix
17114-172186,Phoenix,Phoenix
5326-1013,Phoenix,Phoenix
21102-152448,Glendale,Glendale
76656-108201,Glendale,Glendale
23905-231325,Glendale,Glendale
27544-245014,Glendale,Glendale
76262-90568,Phoenix,Guadalupe
10798-101370,Phoenix,Phoenix
74723-98265,Phoenix,Phoenix
72598-106057,Scottsdale,Scottsdale
8974-95021,Peoria,Anthem
9450-95709,Peoria,Tolleson
9251-95286,Glendale,Glendale
74436-65099,Paradise Valley,Paradise Valley
20277-176125,Glendale,Glendale
28203-249815,Phoenix,Phoenix
21438-97176,Tempe,Guadalupe
73505-53439,Paradise Valley,Paradise Valley
16797-172187,Phoenix,Phoenix
74323-64659,Paradise Valley,Paradise Valley
27594-247149,Paradise Valley,Paradise Valley
16299-164165,Paradise Valley,Paradise Valley
5480-1569,Phoenix,Phoenix
19210-169088,Phoenix,Phoenix
8656-93357,Paradise Valley,Paradise Valley
7074-149408,Sun City,Sun City
75507-34919,Paradise Valley,Paradise Valley
5958-7369,Paradise Valley,Paradise Valley
8606-93575,Glendale,Glendale
20444-195007,Paradise Valley,Paradise Valley
5435-1163,Phoenix,Phoenix
24426-237911,Glendale,Glendale
6966-85340,Tempe,Guadalupe
14593-112345,Phoenix,Laveen
74101-22842,Tempe,Guadalupe
16835-172189,Phoenix,Phoenix
5455-1418,Paradise Valley,Paradise Valley
5837-27007,Phoenix,Phoenix
5160-145465,Phoenix,Phoenix
13213-100434,Paradise Valley,Paradise Valley
76360-97181,Glendale,Tolleson
3991-148365,Paradise Valley,Paradise Valley
10309-98945,Glendale,Tolleson
2836-89363,Paradise Valley,Paradise Valley
79721-101010,Glendale,Glendale
21986-106021,Paradise Valley,Paradise Valley
48028-256724,Tempe,Guadalupe
73175-21704,Paradise Valley,Paradise Valley
47951-246504,Paradise Valley,Paradise Valley
14560-108520,Paradise Valley,Paradise Valley
9414-95702,Phoenix,Guadalupe
19281-187644,Phoenix,Phoenix
76362-97182,Paradise Valley,Paradise Valley
19764-172585,Phoenix,Phoenix
72498-10895,Phoenix,Phoenix
79791-101006,Glendale,Glendale
23629-231644,Paradise Valley,Paradise Valley
21889-203904,Paradise Valley,Paradise Valley
5810-20223,Paradise Valley,Paradise Valley
79754-111084,Glendale,Glendale
74944-101008,Paradise Valley,Paradise Valley
76825-111230,Phoenix,Phoenix
5829-21581,Glendale,Glendale
5439-1188,Paradise Valley,Paradise Valley
20314-204748,Phoenix,Phoenix
79515-96792,Phoenix,Phoenix
21596-200587,Glendale,Glendale
70315-140365,Tempe,Guadalupe
79767-136609,El Mirage,El Mirage
70064-138184,Phoenix,Phoenix
5534-170944,Phoenix,Phoenix
9997-97957,Glendale,Tolleson
9065-113971,Peoria,Anthem
10128-98948,Phoenix,Phoenix
5469-237912,Glendale,Glendale
5422-1009,Phoenix,Phoenix
74998-101007,Phoenix,Phoenix
74722-65080,Tempe,Guadalupe
75382-102494,Phoenix,Phoenix
73728-106041,Paradise Valley,Paradise Valley
6954-87965,Phoenix,Phoenix
7971-95229,Glendale,Glendale
76610-100267,Paradise Valley,Paradise Valley
9590-96066,Phoenix,Phoenix
75274-80037,Phoenix,Phoenix
74439-82503,Phoenix,Phoenix
5547-194384,Paradise Valley,Paradise Valley
5865-29155,Paradise Valley,Paradise Valley
2940-92106,Paradise Valley,Paradise Valley
76596-96304,Avondale,Tolleson
73583-79483,Peoria,Anthem
6682-222364,Glendale,Glendale
19168-178224,Prescott,Prescott
5008-153924,Prescott,Prescott
5828-25528,Prescott,Prescott
79642-111047,Prescott,Prescott
17467-176604,Prescott,Prescott
74290-74771,Prescott,Prescott
10799-101144,Prescott,Prescott
6067-145466,Prescott Valley,Prescott Valley
29026-251944,Prescott Valley,Prescott Valley
74400-83386,Prescott Valley,Prescott Valley
14225-108521,Coolidge,San Tan Valley
73965-138186,Apache Junction,San Tan Valley
76874-121625,Gilbert,Queen Creek
74360-83382,Gilbert,Queen Creek
72564-102069,Gilbert,Queen Creek
25812-241707,Gilbert,Queen Creek
73702-106030,Coolidge,San Tan Valley
74331-82241,Green Valley,Green Valley
73867-106707,Green Valley,Sahuarita
6606-68120,Paradise Valley,Scottsdale
23311-221604,Scottsdale,Scottsdale
8605-87422,Scottsdale,Scottsdale
6967-89362,Scottsdale,Scottsdale
6942-89800,Paradise Valley,Carefree
5496-1419,Paradise Valley,Paradise Valley
5327-161884,Paradise Valley,Paradise Valley
79691-120705,Paradise Valley,Carefree
74862-97178,Paradise Valley,Paradise Valley
24884-230664,Paradise Valley,Scottsdale
74230-45839,Paradise Valley,Paradise Valley
5558-1313,Scottsdale,Scottsdale
5761-7367,Scottsdale,Scottsdale
28205-249821,Scottsdale,Scottsdale
74228-26811,Paradise Valley,Carefree
74197-27668,Paradise Valley,Paradise Valley
72560-102065,Scottsdale,Scottsdale
17375-173857,Scottsdale,Scottsdale
70008-125884,Paradise Valley,Paradise Valley
74451-90566,Scottsdale,Scottsdale
74718-97729,Scottsdale,Scottsdale
9589-95710,Scottsdale,Scottsdale
76196-92460,Paradise Valley,Paradise Valley
15050-183947,Paradise Valley,Paradise Valley
20337-204608,Scottsdale,Scottsdale
74786-97731,Paradise Valley,Paradise Valley
14126-105015,Paradise Valley,Paradise Valley
17374-173856,Paradise Valley,Paradise Valley
5421-189464,Paradise Valley,Carefree
6893-84201,Paradise Valley,Paradise Valley
10800-101121,Paradise Valley,Paradise Valley
5979-39299,Paradise Valley,Carefree
74449-95255,Paradise Valley,Carefree
16033-159212,Paradise Valley,Carefree
28363-249879,Paradise Valley,Paradise Valley
48084-261324,Scottsdale,Scottsdale
22718-223831,Scottsdale,Scottsdale
18692-182765,Scottsdale,Scottsdale
5664-4897,Scottsdale,Scottsdale
47807-259846,Scottsdale,Scottsdale
5437-1373,Paradise Valley,Paradise Valley
4133-147484,Sedona,Sedona
74434-90567,Sedona,West Sedona
24425-237910,Sedona,West Sedona
25699-103429,Sedona,West Sedona
74402-83384,Show Low,Show Low
76501-99351,Sierra Vista,Sierra Vista
73860-106065,Sierra Vista,Sierra Vista
74383-83399,Sierra Vista,Sierra Vista
29155-251665,Sun City,Youngtown
10094-99046,Sun City,Sun City
22005-138187,Sun City,Youngtown
22414-217349,Sun City West,Sun City West
79551-101012,Sun City West,Sun City West
11326-103704,Sun City West,Sun City West
73762-106026,Sun City West,Sun City West
73838-113969,Surprise,Surprise
74743-98887,Sun City West,Sun City West
74864-97730,Sun City West,Sun City West
22018-214825,Surprise,Surprise
6622-65580,Surprise,Surprise
11219-104336,Sun City West,Sun City West
3199-106038,Surprise,Citrus Park
74733-97179,Surprise,Surprise
5468-1417,Tempe,Guadalupe
9623-97419,Tempe,Tempe Junction
75178-78040,Tempe,Tempe Junction
2837-90926,Tempe,Tempe Junction
29557-251387,Tempe,Tempe Junction
75247-94352,Tempe,Tempe Junction
7970-95703,Tempe,Tempe Junction
48692-252812,Tempe,Tempe Junction
5340-1014,Tempe,Tempe Junction
13214-103798,Tempe,Tempe Junction
23634-228544,Tempe,Tempe Junction
8103-95836,Tempe,Guadalupe
5560-1718,Tempe,Guadalupe
21646-209784,Chandler,San Carlos
23522-230687,Tempe,Tempe Junction
75197-78022,Tempe,Tempe Junction
19127-187664,Tempe,Tempe Junction
74293-74772,Tempe,Tempe Junction
23521-230692,Tempe,Tempe
21988-215864,Tempe,Guadalupe
73409-23371,Tempe,Guadalupe
48697-255545,Tempe,Tempe Junction
75278-78041,Tempe,Tempe Junction
20279-173852,Chandler,Guadalupe
9996-96407,Tempe,Tempe
18890-177524,Tempe,Guadalupe
74486-96937,Tempe,Guadalupe
5378-1012,Tempe,Guadalupe
76805-96781,Tempe,Tempe
79759-136613,Safford,Thatcher
10931-95287,Avondale,Tolleson
16501-160704,Drexel Heights,Valencia West
6612-63459,Tucson,Tanque Verde
79578-103457,Tucson,Tucson
28616-249914,Tucson,Tucson
9814-94810,Tucson,Tucson
8744-94658,Tucson,Tucson
79671-113975,Tucson,Tucson
28610-249906,Catalina Foothills,Catalina Foothills
75360-99029,Tucson,Tucson
8745-94406,Tucson,Tucson
14809-123285,Casas Adobes,Casas Adobes
73176-21705,Flowing Wells,Flowing Wells
74957-98895,Tucson,Vail
47589-258970,Flowing Wells,South Tucson
21886-206145,Flowing Wells,Flowing Wells
5529-1217,Tucson,Tucson
72597-108208,Tucson,Tanque Verde
5691-1945,Catalina Foothills,Catalina Foothills
72591-103461,Flowing Wells,Flowing Wells
76195-92081,Tucson,Tucson
74914-101169,Tucson,Tucson
8783-93239,Drexel Heights,Drexel Heights
6844-82581,Casas Adobes,Casas Adobes
3498-101171,Catalina Foothills,Catalina Foothills
6944-89364,Catalina Foothills,Catalina Foothills
8976-95252,Catalina Foothills,Catalina Foothills
24410-234704,Tucson,South Tucson
28653-250050,Flowing Wells,Flowing Wells
10708-102657,Flowing Wells,Flowing Wells
73720-103459,Catalina Foothills,Catalina Foothills
79702-113972,Tucson,Tanque Verde
79579-101021,Casas Adobes,Casas Adobes
74847-98372,Catalina Foothills,Catalina Foothills
74922-101015,Drexel Heights,Drexel Heights
49733-245843,Drexel Heights,Drexel Heights
75733-95241,Drexel Heights,Tucson Estates
76402-97186,Casas Adobes,Casas Adobes
2838-92782,Casas Adobes,Tortolita
8901-95251,Tucson,Tanque Verde
13122-152324,Oro Valley,Catalina
21359-197874,Tucson,Tucson
76190-88967,Tucson,Tanque Verde
13150-138191,Flowing Wells,South Tucson
47599-258965,Tucson,Tanque Verde
73703-106062,Tucson,Vail
6920-87200,Tucson,Tucson
48882-257947,Tucson,Tucson
5505-1630,Tucson,South Tucson
5927-37539,Tucson,Tucson
19981-181344,Tucson,Tanque Verde
70053-117804,Tucson,Tucson
48881-257949,Tucson,Tucson
5398-1178,Casas Adobes,Casas Adobes
8104-95249,Tucson,Tucson
73908-102067,Catalina Foothills,Catalina Foothills
74964-101016,Tucson,Tucson
5090-144826,Flowing Wells,Flowing Wells
74742-97732,Casas Adobes,Casas Adobes
10095-97333,Tucson,Tucson
25206-237608,Drexel Heights,Drexel Heights
74916-100980,Sun City West,Wickenburg
79557-106066,Safford,Willcox
79522-101000,Cottonwood,Williams
76467-97575,Yuma,Yuma
3044-141386,Fortuna Foothills,Fortuna Foothills
15958-155606,Fortuna Foothills,Fortuna Foothills
10658-101045,Yuma,Yuma
13732-108188,Yuma,Yuma
14665-123164,Yuma,Yuma
18819-184204,Fortuna Foothills,Fortuna Foothills
73600-80604,Yuma,Yuma
10429-100710,Adelanto,Mountain View Acres
635-352,Agoura Hills,Oak Park
74510-27669,Agoura Hills,Agoura Hills
29839-255026,Chino Hills,Yorba Linda
23463-230284,Oakland,Oakland
6479-62999,Alameda,Alameda
5535-728,Oakland,Oakland
74877-100291,Alameda,Alameda
11161-103516,Alameda,Alameda
19859-196187,Oakland,Oakland
5335-904,Alameda,Alameda
5543-1657,Alamo,Alamo
74118-22881,Alamo,Alamo
76267-89722,Albany,Albany
76365-97162,Alhambra,Alhambra
6794-41839,Alhambra,Alhambra
11220-104633,Alhambra,Alhambra
47671-258708,Alhambra,Alhambra
9385-96258,San Gabriel,San Gabriel
5380-673,Alhambra,Alhambra
567-509,Laguna Hills,Aliso Viejo
17278-164888,Laguna Hills,Aliso Viejo
26358-182688,Laguna Woods,Aliso Viejo
14049-108022,Laguna Woods,Laguna Woods
10260-99460,Alpine,Alpine
6465-52459,American Canyon,American Canyon
9901-96256,American Canyon,American Canyon
17850-180364,Anaheim,Anaheim
19824-199324,Anaheim,Anaheim
23316-206410,Anaheim,Anaheim
74800-98365,Chino Hills,Yorba Linda
11087-103178,Buena Park,Anaheim
6877-82102,Stanton,Stanton
10486-101440,Anaheim,Anaheim
6561-40160,Placentia,Placentia
10773-97634,Anaheim,Anaheim
19311-179845,Anaheim,Anaheim
72474-26627,Garden Grove,Garden Grove
18476-186804,Chino Hills,Yorba Linda
6704-75481,Anaheim,Anaheim
5564-1277,Orange,Orange
76918-131629,Anaheim,Anaheim
25203-240104,Anaheim,Anaheim
11162-103730,Anaheim,Anaheim
17647-184044,Anaheim,Anaheim
75597-77705,Garden Grove,Garden Grove
74622-25767,Yorba Linda,Villa Park
663-336,Yorba Linda,Yorba Linda
9633-9372,Yorba Linda,Villa Park
10129-99307,Chino Hills,Yorba Linda
74962-102356,Anderson,Anderson
11828-104527,Anderson,Anderson
6533-64399,Oakdale,Angels Camp
6755-72663,North Highlands,North Highlands
5345-398,Antioch,Antioch
11985-106649,Antioch,Antioch
74693-73700,Antioch,Antioch
6813-82628,Oakley,Oakley
10423-96967,Antioch,Antioch
25600-241073,Oakley,Oakley
13993-113968,Antioch,Antioch
76775-108569,Apple Valley,Apple Valley
9873-97740,Apple Valley,Apple Valley
76333-95629,Apple Valley,Apple Valley
6555-159084,Apple Valley,Apple Valley
9553-97067,Aptos,Aptos
74481-73613,Aptos,Seacliff
73672-96295,Arcadia,North El Monte
5497-1534,Arcadia,Arcadia
28595-249833,Arcadia,Arcadia
537-481,Temple City,Temple City
74522-60799,Temple City,Temple City
22713-201805,Arcadia,Arcadia
6887-243889,Arroyo Grande,Arroyo Grande
5689-5179,Arroyo Grande,Arroyo Grande
2989-93580,Artesia,Artesia
24310-232264,Arvin,Lebec
10130-99744,Atascadero,Templeton
5987-151304,Atascadero,Atascadero
